,word,sentiment
14567,breathtakingly,positive
14568,breeze,positive
14569,bribery,negative
14570,bright,positive
14571,brighten,positive
14572,brighter,positive
14573,brightest,positive
14574,brilliance,positive
14575,brilliances,positive
14576,brilliant,positive
14577,brilliantly,positive
14578,brimstone,negative
14579,brisk,positive
14580,bristle,negative
14581,brittle,negative
14582,broke,negative
14583,broken,negative
14584,broken-hearted,negative
14585,brood,negative
14586,brotherly,positive
14587,browbeat,negative
14588,bruise,negative
14589,bruised,negative
14590,bruises,negative
14591,bruising,negative
14592,brusque,negative
14593,brutal,negative
14594,brutalising,negative
14595,brutalities,negative
14596,brutality,negative
14597,brutalize,negative
14598,brutalizing,negative
14599,brutally,negative
14600,brute,negative
14601,brutish,negative
14602,bs,negative
14603,buckle,negative
14604,bug,negative
14605,bugging,negative
14606,buggy,negative
14607,bugs,negative
14608,bulkier,negative
14609,bulkiness,negative
14610,bulky,negative
14611,bulkyness,negative
14612,bull----,negative
14613,bull****,negative
14614,bullies,negative
14615,bullish,positive
14616,bullshit,negative
14617,bullshyt,negative
14618,bully,negative
14619,bullying,negative
14620,bullyingly,negative
14621,bum,negative
14622,bump,negative
14623,bumped,negative
14624,bumping,negative
14625,bumpping,negative
14626,bumps,negative
14627,bumpy,negative
14628,bungle,negative
14629,bungler,negative
14630,bungling,negative
14631,bunk,negative
14632,buoyant,positive
14633,burden,negative
14634,burdensome,negative
14635,burdensomely,negative
14636,burn,negative
14637,burned,negative
14638,burning,negative
14639,burns,negative
14640,bust,negative
14641,busts,negative
14642,busybody,negative
14643,butcher,negative
14644,butchery,negative
14645,buzzing,negative
14646,byzantine,negative
14647,cackle,negative
14648,cajole,positive
14649,calamities,negative
14650,calamitous,negative
14651,calamitously,negative
14652,calamity,negative
14653,callous,negative
14654,calm,positive
14655,calming,positive
14656,calmness,positive
14657,calumniate,negative
14658,calumniation,negative
14659,calumnies,negative
14660,calumnious,negative
14661,calumniously,negative
14662,calumny,negative
14663,cancer,negative
14664,cancerous,negative
14665,cannibal,negative
14666,cannibalize,negative
14667,capability,positive
14668,capable,positive
14669,capably,positive
14670,capitulate,negative
14671,capricious,negative
14672,capriciously,negative
14673,capriciousness,negative
14674,capsize,negative
14675,captivate,positive
14676,captivating,positive
14677,carefree,positive
14678,careless,negative
14679,carelessness,negative
14680,caricature,negative
14681,carnage,negative
14682,carp,negative
14683,cartoonish,negative
14684,cash-strapped,negative
14685,cashback,positive
14686,cashbacks,positive
14687,castigate,negative
14688,castrated,negative
14689,casualty,negative
14690,cataclysm,negative
14691,cataclysmal,negative
14692,cataclysmic,negative
14693,cataclysmically,negative
14694,catastrophe,negative
14695,catastrophes,negative
14696,catastrophic,negative
14697,catastrophically,negative
14698,catastrophies,negative
14699,catchy,positive
14700,caustic,negative
14701,caustically,negative
14702,cautionary,negative
14703,cave,negative
14704,celebrate,positive
14705,celebrated,positive
14706,celebration,positive
14707,celebratory,positive
14708,censure,negative
14709,chafe,negative
14710,chaff,negative
14711,chagrin,negative
14712,challenging,negative
14713,champ,positive
14714,champion,positive
14715,chaos,negative
14716,chaotic,negative
14717,charisma,positive
14718,charismatic,positive
14719,charitable,positive
14720,charm,positive
14721,charming,positive
14722,charmingly,positive
14723,chaste,positive
14724,chasten,negative
14725,chastise,negative
14726,chastisement,negative
14727,chatter,negative
14728,chatterbox,negative
14729,cheap,negative
14730,cheapen,negative
14731,cheaper,positive
14732,cheapest,positive
14733,cheaply,negative
14734,cheat,negative
14735,cheated,negative
14736,cheater,negative
14737,cheating,negative
14738,cheats,negative
14739,checkered,negative
14740,cheer,positive
14741,cheerful,positive
14742,cheerless,negative
14743,cheery,positive
14744,cheesy,negative
14745,cherish,positive
14746,cherished,positive
14747,cherub,positive
14748,chic,positive
14749,chide,negative
14750,childish,negative
14751,chill,negative
14752,chilly,negative
14753,chintzy,negative
14754,chivalrous,positive
14755,chivalry,positive
14756,choke,negative
14757,choleric,negative
14758,choppy,negative
14759,chore,negative
14760,chronic,negative
14761,chunky,negative
14762,civility,positive
14763,civilize,positive
14764,clamor,negative
14765,clamorous,negative
14766,clarity,positive
14767,clash,negative
14768,classic,positive
14769,classy,positive
14770,clean,positive
14771,cleaner,positive
14772,cleanest,positive
14773,cleanliness,positive
14774,cleanly,positive
14775,clear,positive
14776,clear-cut,positive
14777,cleared,positive
14778,clearer,positive
14779,clearly,positive
14780,clears,positive
14781,clever,positive
14782,cleverly,positive
14783,cliche,negative
14784,cliched,negative
14785,clique,negative
14786,clog,negative
14787,clogged,negative
14788,clogs,negative
14789,cloud,negative
14790,clouding,negative
14791,cloudy,negative
14792,clueless,negative
14793,clumsy,negative
14794,clunky,negative
14795,coarse,negative
14796,cocky,negative
14797,coerce,negative
14798,coercion,negative
14799,coercive,negative
14800,cohere,positive
14801,coherence,positive
14802,coherent,positive
14803,cohesive,positive
14804,cold,negative
14805,coldly,negative
14806,collapse,negative
14807,collude,negative
14808,collusion,negative
14809,colorful,positive
14810,combative,negative
14811,combust,negative
14812,comely,positive
14813,comfort,positive
14814,comfortable,positive
14815,comfortably,positive
14816,comforting,positive
14817,comfy,positive
14818,comical,negative
14819,commend,positive
14820,commendable,positive
14821,commendably,positive
14822,commiserate,negative
14823,commitment,positive
14824,commodious,positive
14825,commonplace,negative
14826,commotion,negative
14827,commotions,negative
14828,compact,positive
14829,compactly,positive
14830,compassion,positive
14831,compassionate,positive
14832,compatible,positive
14833,competitive,positive
14834,complacent,negative
14835,complain,negative
14836,complained,negative
14837,complaining,negative
14838,complains,negative
14839,complaint,negative
14840,complaints,negative
14841,complement,positive
14842,complementary,positive
14843,complemented,positive
14844,complements,positive
14845,complex,negative
14846,compliant,positive
14847,complicated,negative
14848,complication,negative
14849,complicit,negative
14850,compliment,positive
14851,complimentary,positive
14852,comprehensive,positive
14853,compulsion,negative
14854,compulsive,negative
14855,concede,negative
14856,conceded,negative
14857,conceit,negative
14858,conceited,negative
14859,concen,negative
14860,concens,negative
14861,concern,negative
14862,concerned,negative
14863,concerns,negative
14864,concession,negative
14865,concessions,negative
14866,conciliate,positive
14867,conciliatory,positive
14868,concise,positive
14869,condemn,negative
14870,condemnable,negative
14871,condemnation,negative
14872,condemned,negative
14873,condemns,negative
14874,condescend,negative
14875,condescending,negative
14876,condescendingly,negative
14877,condescension,negative
14878,confess,negative
14879,confession,negative
14880,confessions,negative
14881,confidence,positive
14882,confident,positive
14883,confined,negative
14884,conflict,negative
14885,conflicted,negative
14886,conflicting,negative
14887,conflicts,negative
14888,confound,negative
14889,confounded,negative
14890,confounding,negative
14891,confront,negative
14892,confrontation,negative
14893,confrontational,negative
14894,confuse,negative
14895,confused,negative
14896,confuses,negative
14897,confusing,negative
14898,confusion,negative
14899,confusions,negative
14900,congenial,positive
14901,congested,negative
14902,congestion,negative
14903,congratulate,positive
14904,congratulation,positive
14905,congratulations,positive
14906,congratulatory,positive
14907,cons,negative
14908,conscientious,positive
14909,conscons,negative
14910,conservative,negative
14911,considerate,positive
14912,consistent,positive
14913,consistently,positive
14914,conspicuous,negative
14915,conspicuously,negative
14916,conspiracies,negative
14917,conspiracy,negative
14918,conspirator,negative
14919,conspiratorial,negative
14920,conspire,negative
14921,consternation,negative
14922,constructive,positive
14923,consummate,positive
14924,contagious,negative
14925,contaminate,negative
14926,contaminated,negative
14927,contaminates,negative
14928,contaminating,negative
14929,contamination,negative
14930,contempt,negative
14931,contemptible,negative
14932,contemptuous,negative
14933,contemptuously,negative
14934,contend,negative
14935,contention,negative
14936,contentious,negative
14937,contentment,positive
14938,continuity,positive
14939,contort,negative
14940,contortions,negative
14941,contradict,negative
14942,contradiction,negative
14943,contradictory,negative
14944,contrariness,negative
14945,contrasty,positive
14946,contravene,negative
14947,contribution,positive
14948,contrive,negative
14949,contrived,negative
14950,controversial,negative
14951,controversy,negative
14952,convenience,positive
14953,convenient,positive
14954,conveniently,positive
14955,convience,positive
14956,convienient,positive
14957,convient,positive
14958,convincing,positive
14959,convincingly,positive
14960,convoluted,negative
14961,cool,positive
14962,coolest,positive
14963,cooperative,positive
14964,cooperatively,positive
14965,cornerstone,positive
14966,correct,positive
14967,correctly,positive
14968,corrode,negative
14969,corrosion,negative
14970,corrosions,negative
14971,corrosive,negative
14972,corrupt,negative
14973,corrupted,negative
14974,corrupting,negative
14975,corruption,negative
14976,corrupts,negative
14977,corruptted,negative
14978,cost-effective,positive
14979,cost-saving,positive
14980,costlier,negative
14981,costly,negative
14982,counter-attack,positive
14983,counter-attacks,positive
14984,counter-productive,negative
14985,counterproductive,negative
14986,coupists,negative
14987,courage,positive
14988,courageous,positive
14989,courageously,positive
14990,courageousness,positive
14991,courteous,positive
14992,courtly,positive
14993,covenant,positive
14994,covetous,negative
14995,coward,negative
14996,cowardly,negative
14997,cozy,positive
14998,crabby,negative
14999,crack,negative
15000,cracked,negative
15001,cracks,negative
15002,craftily,negative
15003,craftly,negative
15004,crafty,negative
15005,cramp,negative
15006,cramped,negative
15007,cramping,negative
15008,cranky,negative
15009,crap,negative
15010,crappy,negative
15011,craps,negative
15012,crash,negative
15013,crashed,negative
15014,crashes,negative
15015,crashing,negative
15016,crass,negative
15017,craven,negative
15018,cravenly,negative
15019,craze,negative
15020,crazily,negative
15021,craziness,negative
15022,crazy,negative
15023,creak,negative
15024,creaking,negative
15025,creaks,negative
15026,creative,positive
15027,credence,positive
15028,credible,positive
15029,credulous,negative
15030,creep,negative
15031,creeping,negative
15032,creeps,negative
15033,creepy,negative
15034,crept,negative
15035,crime,negative
15036,criminal,negative
15037,cringe,negative
15038,cringed,negative
15039,cringes,negative
15040,cripple,negative
15041,crippled,negative
15042,cripples,negative
15043,crippling,negative
15044,crisis,negative
15045,crisp,positive
15046,crisper,positive
15047,critic,negative
15048,critical,negative
15049,criticism,negative
15050,criticisms,negative
15051,criticize,negative
15052,criticized,negative
15053,criticizing,negative
15054,critics,negative
15055,cronyism,negative
15056,crook,negative
15057,crooked,negative
15058,crooks,negative
15059,crowded,negative
15060,crowdedness,negative
15061,crude,negative
15062,cruel,negative
15063,crueler,negative
15064,cruelest,negative
15065,cruelly,negative
15066,cruelness,negative
15067,cruelties,negative
15068,cruelty,negative
15069,crumble,negative
15070,crumbling,negative
15071,crummy,negative
15072,crumple,negative
15073,crumpled,negative
15074,crumples,negative
15075,crush,negative
15076,crushed,negative
15077,crushing,negative
15078,cry,negative
15079,culpable,negative
15080,culprit,negative
15081,cumbersome,negative
15082,cunt,negative
15083,cunts,negative
15084,cuplrit,negative
15085,cure,positive
15086,cure-all,positive
15087,curse,negative
15088,cursed,negative
15089,curses,negative
15090,curt,negative
15091,cushy,positive
15092,cuss,negative
15093,cussed,negative
15094,cute,positive
15095,cuteness,positive
15096,cutthroat,negative
15097,cynical,negative
15098,cynicism,negative
15099,d*mn,negative
15100,damage,negative
15101,damaged,negative
15102,damages,negative
15103,damaging,negative
15104,damn,negative
15105,damnable,negative
15106,damnably,negative
15107,damnation,negative
15108,damned,negative
15109,damning,negative
15110,damper,negative
15111,danger,negative
15112,dangerous,negative
15113,dangerousness,negative
15114,danke,positive
15115,danken,positive
15116,daring,positive
15117,daringly,positive
15118,dark,negative
15119,darken,negative
15120,darkened,negative
15121,darker,negative
15122,darkness,negative
15123,darling,positive
15124,dashing,positive
15125,dastard,negative
15126,dastardly,negative
15127,daunt,negative
15128,daunting,negative
15129,dauntingly,negative
15130,dauntless,positive
15131,dawdle,negative
15132,dawn,positive
15133,daze,negative
15134,dazed,negative
15135,dazzle,positive
15136,dazzled,positive
15137,dazzling,positive
15138,dead,negative
15139,dead-cheap,positive
15140,dead-on,positive
15141,deadbeat,negative
15142,deadlock,negative
15143,deadly,negative
15144,deadweight,negative
15145,deaf,negative
15146,dearth,negative
15147,death,negative
15148,debacle,negative
15149,debase,negative
15150,debasement,negative
15151,debaser,negative
15152,debatable,negative
15153,debauch,negative
15154,debaucher,negative
15155,debauchery,negative
15156,debilitate,negative
15157,debilitating,negative
15158,debility,negative
15159,debt,negative
15160,debts,negative
15161,decadence,negative
15162,decadent,negative
15163,decay,negative
15164,decayed,negative
15165,deceit,negative
15166,deceitful,negative
15167,deceitfully,negative
15168,deceitfulness,negative
15169,deceive,negative
15170,deceiver,negative
15171,deceivers,negative
15172,deceiving,negative
15173,decency,positive
15174,decent,positive
15175,deception,negative
15176,deceptive,negative
15177,deceptively,negative
15178,decisive,positive
15179,decisiveness,positive
15180,declaim,negative
15181,decline,negative
15182,declines,negative
15183,declining,negative
15184,decrement,negative
15185,decrepit,negative
15186,decrepitude,negative
15187,decry,negative
15188,dedicated,positive
15189,defamation,negative
15190,defamations,negative
15191,defamatory,negative
15192,defame,negative
15193,defeat,positive
15194,defeated,positive
15195,defeating,positive
15196,defeats,positive
15197,defect,negative
15198,defective,negative
15199,defects,negative
15200,defender,positive
15201,defensive,negative
15202,deference,positive
15203,defiance,negative
15204,defiant,negative
15205,defiantly,negative
15206,deficiencies,negative
15207,deficiency,negative
15208,deficient,negative
15209,defile,negative
15210,defiler,negative
15211,deform,negative
15212,deformed,negative
15213,defrauding,negative
15214,deft,positive
15215,defunct,negative
15216,defy,negative
15217,degenerate,negative
15218,degenerately,negative
15219,degeneration,negative
15220,deginified,positive
15221,degradation,negative
15222,degrade,negative
15223,degrading,negative
15224,degradingly,negative
15225,dehumanization,negative
15226,dehumanize,negative
15227,deign,negative
15228,deject,negative
15229,dejected,negative
15230,dejectedly,negative
15231,dejection,negative
15232,delay,negative
15233,delayed,negative
15234,delaying,negative
15235,delays,negative
15236,delectable,positive
15237,delicacy,positive
15238,delicate,positive
15239,delicious,positive
15240,delight,positive
15241,delighted,positive
15242,delightful,positive
15243,delightfully,positive
15244,delightfulness,positive
15245,delinquency,negative
15246,delinquent,negative
15247,delirious,negative
15248,delirium,negative
15249,delude,negative
15250,deluded,negative
15251,deluge,negative
15252,delusion,negative
15253,delusional,negative
15254,delusions,negative
15255,demean,negative
15256,demeaning,negative
15257,demise,negative
15258,demolish,negative
15259,demolisher,negative
15260,demon,negative
15261,demonic,negative
15262,demonize,negative
15263,demonized,negative
